"선수,연도,팀,연봉(만원),WAR(승리기여도)"
추신수,2022,SSG,270000,0.148
구자욱,2022,삼성,250000,-0.081
한유섬,2022,SSG,240000,1.879
나성범,2022,KIA,200000,1.308
박건우,2022,NC,190000,0.930
박종훈,2022,SSG,180000,
루친스키,2022,NC,160000,1.798
미란다,2022,두산,160000,0.075
문승원,2022,SSG,160000,
오승환,2022,삼성,160000,0.076
손아섭,2022,NC,150000,0.226
김현수,2022,LG,150000,1.115
김광현,2022,SSG,150000,1.606
김재환,2022,두산,150000,0.311
최정,2022,SSG,120000,1.291
허경민,2022,두산,120000,0.859
폰트,2022,SSG,110000,1.126
뷰캐넌,2022,삼성,110000,0.653
이재원,2022,SSG,100000,-0.415
안치홍,2022,롯데,100000,0.915
양현종,2022,KIA,100000,0.936
양의지,2022,NC,100000,0.246
최재훈,2022,한화,100000,0.462
최형우,2022,KIA,90000,0.386
켈리,2022,LG,90000,0.442
요키시,2022,넥센,90000,
이대호,2022,롯데,80000,0.722
쿠에바스,2022,kt,80000,0.345
정우람,2022,한화,80000,0.068
백정현,2022,삼성,80000,-0.530
이정후,2022,넥센,75000,
노바,2022,SSG,75000,-0.432
수아레즈,2022,삼성,70000,0.442
데스파이네,2022,kt,70000,0.188
터크먼,2022,한화,70000,1.591
킹험,2022,한화,70000,
푸이그,2022,넥센,70000,
박석민,2022,NC,70000,
최주환,2022,SSG,65000,-0.357
라모스,2022,kt,65000,0.291
피렐라,2022,삼성,60000,1.787
크론,2022,SSG,60000,0.321
루이즈,2022,LG,60000,0.197
박병호,2022,kt,60000,0.883
오지환,2022,LG,60000,0.759
페르난데스,2022,두산,60000,0.557
박해민,2022,LG,60000,0.154
강민호,2022,삼성,60000,-0.127
정수빈,2022,두산,60000,0.200
오재일,2022,삼성,60000,0.036
피터스,2022,롯데,60000,0.117
정훈,2022,롯데,55000,0.150
강백호,2022,kt,55000,
장성우,2022,kt,50000,0.855
플럿코,2022,LG,50000,0.399
김재호,2022,두산,50000,-0.516
스파크맨,2022,롯데,50000,-0.062
소크라테스,2022,KIA,50000,0.555
전준우,2022,롯데,50000,0.255
반즈,2022,롯데,46538,2.012
김선빈,2022,KIA,45000,1.135
파슨스,2022,NC,44000,0.062
마티니,2022,NC,44000,0.681
박민우,2022,NC,41000,
황재균,2022,kt,40000,1.262
스탁,2022,두산,40000,1.550
이용규,2022,넥센,40000,
이용찬,2022,NC,40000,0.390
양석환,2022,두산,39000,0.333
카펜터,2022,한화,35000,0.241
놀린,2022,KIA,35000,0.140
최원준,2022,두산,34000,0.491
김혜성,2022,넥센,32000,
홍창기,2022,LG,32000,0.484
박동원,2022,넥센,31000,
최원태,2022,넥센,31000,
로니,2022,KIA,30000,0.007
고영표,2022,kt,30000,1.116
진해수,2022,LG,30000,0.563
박세혁,2022,두산,30000,-0.413
원태인,2022,삼성,30000,0.163
이지영,2022,넥센,30000,
이원석,2022,삼성,30000,0.261
김상수,2022,SSG,30000,-0.128
차우찬,2022,LG,30000,
오재원,2022,두산,30000,-0.174
주권,2022,kt,29500,0.322
박경수,2022,kt,29000,-0.115
김재윤,2022,kt,28000,-0.070
심창민,2022,NC,28000,-0.321
정우영,2022,LG,28000,0.722
정찬헌,2022,넥센,28000,
채은성,2022,LG,28000,0.208
김원중,2022,롯데,28000,0.047
애플러,2022,넥센,27500,
원종현,2022,NC,27000,0.059
유강남,2022,LG,27000,0.532
배제성,2022,kt,27000,-0.009
고우석,2022,LG,27000,0.687
서건창,2022,LG,26000,-0.237
