"선수,연도,팀,연봉(만원),WAR(승리기여도)"
이대호,2020,롯데,250000,1.142
양현종,2020,KIA,230000,2.522
박병호,2020,넥센,200000,
양의지,2020,NC,200000,6.325
손아섭,2020,롯데,200000,4.151
최형우,2020,KIA,150000,5.710
김현수,2020,LG,130000,5.373
이재원,2020,SK,130000,-0.576
민병헌,2020,롯데,125000,-1.295
강민호,2020,삼성,125000,3.174
최정,2020,SK,120000,5.090
오승환,2020,삼성,120000,2.624
황재균,2020,kt,120000,5.147
김태균,2020,한화,100000,-0.391
차우찬,2020,LG,100000,0.212
로하스,2020,kt,100000,7.954
루친스키,2020,NC,100000,5.595
로맥,2020,SK,90000,3.928
윌슨,2020,LG,90000,1.098
켈리,2020,LG,90000,4.260
알테어,2020,NC,80000,4.225
브리검,2020,넥센,80000,
정우람,2020,한화,80000,1.229
박용택,2020,LG,80000,0.386
박석민,2020,NC,70000,4.057
서폴드,2020,,70000,
정근우,2020,LG,70000,-0.762
우규민,2020,삼성,70000,-0.032
김재환,2020,두산,65000,3.756
가뇽,2020,KIA,65000,2.840
김재호,2020,두산,65000,2.017
쿠에바스,2020,kt,60000,2.638
오지환,2020,LG,60000,5.610
뷰캐넌,2020,삼성,60000,4.682
나지완,2020,KIA,60000,2.265
호잉,2020,한화,55000,-0.702
요키시,2020,넥센,55000,
터커,2020,KIA,55000,4.310
박민우,2020,NC,52000,5.005
전준우,2020,롯데,50000,3.134
킹엄,2020,SK,50000,-0.323
이택근,2020,넥센,50000,
유한준,2020,kt,50000,0.521
라이블리,2020,삼성,50000,2.656
이성열,2020,한화,50000,-1.018
나성범,2020,NC,50000,5.158
스트레일리,2020,롯데,50000,7.534
정상호,2020,SSG,50000,
허경민,2020,두산,48000,3.745
브룩스,2020,KIA,47900,7.158
오재일,2020,두산,47000,3.361
유희관,2020,두산,47000,0.152
박건우,2020,두산,45000,4.122
김선빈,2020,KIA,45000,2.640
데스파이네,2020,kt,45000,3.209
알칸타라,2020,두산,45000,8.313
이용찬,2020,두산,42000,-0.543
김민성,2020,LG,40000,1.105
윤성환,2020,삼성,40000,-0.159
이용규,2020,한화,40000,1.222
페르난데스,2020,두산,40000,4.460
이현승,2020,두산,40000,0.250
채드벨,2020,한화,40000,0.162
박경수,2020,kt,40000,2.983
김주찬,2020,KIA,40000,-0.016
이정후,2020,넥센,39000,
최원태,2020,넥센,37000,
김강민,2020,SK,35000,1.241
안영명,2020,한화,35000,0.289
서건창,2020,넥센,35000,
정수빈,2020,두산,34000,3.395
채은성,2020,LG,32000,2.499
김하성,2020,넥센,32000,
정의윤,2020,SK,30000,-0.795
오재원,2020,두산,30000,0.386
김상수,2020,넥센,30000,
이원석,2020,삼성,30000,0.688
박해민,2020,삼성,30000,4.030
이지영,2020,넥센,30000,
장원준,2020,두산,30000,-0.383
모창민,2020,NC,30000,0.236
마차도,2020,롯데,30000,4.536
라모스,2020,LG,30000,4.779
한현희,2020,넥센,29000,
안치홍,2020,롯데,29000,1.536
박종훈,2020,SK,29000,1.898
백정현,2020,삼성,28000,0.102
이천웅,2020,LG,28000,0.296
구자욱,2020,삼성,28000,4.184
이재학,2020,NC,27500,-0.498
최주환,2020,두산,27000,3.628
이영하,2020,두산,27000,2.018
송은범,2020,LG,27000,0.846
원종현,2020,NC,26000,1.092
문승원,2020,SK,25700,3.822
한유섬,2020,SK,25000,1.277
송광민,2020,한화,25000,-0.001
진해수,2020,LG,25000,0.576
김상수,2020,삼성,25000,2.917
김태훈,2020,SK,24000,-0.444
